id,tweet,label
69,main mode transmission droplets possible infected smokers may blow droplets carrying virus exhale regardless steer clear second hand smoke may cause various health problems URL,real
70,article claiming bill gates vaccine would modify human dna,fake
71,rt remains one best ways prevent spread viruses like NUM things,real
72,according state health department NUM NUM URL URL,real
73,daily update published sundays mondays tend see numbers dip see today still NUMk cases rising hospitalizations large jump deaths last sunday holiday numbers NUM day average back NUM URL,real
74,total number confirmed cases covid NUM NUM number report world health organization,real
75,brazailian parliament went hospital take covidNUM patients found empty,fake
76,multiple posts shared thousands times facebook twitter youtube claim salt effective remedy novel coronavirus,fake
77,un secretary general antonio guterres says pandemic dramatically derailed sustainable development goals put question progress made eradication poverty hunger latest world news URL URL,real
78,instagram post claiming covid NUM tests tainted coronavirus circulation many months,fake
79,across NUM states report tracked NUM hospitalizations bulk new york louisiana florida also growing numbers hospitalizations,real
80,philippines senators grace poe risa hontiveros silent coronavirus crisis vocal closure abs cbn,fake
81,india total recoveries continue rise cross NUM NUM lakh today NUM states contribute NUM total cases NUM active cases NUM total fatality reported india URL,real
82,important consequence seeing covid NUM syndemic underline social origins vulnerability older citizens black asian minority ethnic communities key workers commonly poorly paid fewer welfare protections,fake
83,rt scales covid NUM testing capacity NUM lakh tests per day country tota,real
84,video shows italian doctor says nobody died coronavirus italy dangerous flu,fake
85,seasonal influenza vaccination mandatory georgia fall covid NUM mortality rates significantly lower fatalities caused viruses,fake
86,say NUM cases mt roskill evangelical fellowship group NUM cases bereavement sub cluster includes cases whose source infection bereavement events,real
87,one new zealand receiving hospital level care covid NUM yesterday laboratories completed NUM tests bringing total number tests completed date NUM,real
88,NUM NUM pm NUMth april breakdown cases state lagos NUM fct NUM kano NUM osun NUM oyo NUM edo NUM ogun NUM kwara NUM katsina NUM bauchi NUM kaduna NUM akwa ibom NUM delta NUM ekiti NUM ondo NUM enugu NUM rivers NUM niger NUM benue NUM anambra NUM borno NUM jigawa NUM,real
89,biggest change data number covid NUM patients currently hospitalized addition florida NUMk hospitalizations NUM seen numbers since first week may seem likely decline soon URL,real
90,india tracker NUM september NUM NUM NUM confirmed cases NUM recovered NUM NUM NUM active cases NUM NUM NUM deaths NUM NUM NUM via URL,real
91,person coronavirus galicia NUM NUM NUM,fake
92,india tested NUM lakh samples day enabled commitment set NUM laboratories expanding testing mechanisms details visit URL URL,real
93,claim jordanian health minister says covid NUM conspiracy video,fake
94,pregnant women covid NUM higher rate premature births URL,real
95,solidarity trials also underway many countries projects complete controlling effectively easier due availability proper medicines vaccines etc control various infectious diseases across world,real
96,covid NUM update new cases covid NUM report new zealand today NUM days since last case covid NUM acquired locally unknown source,real
97,compare number completed tests reported new mexico state population NUM times smaller california numbers even close yet URL,real
98,NUM cases community auckland based connected existing outbreak close contacts cases already reported NUM new cases household contacts previously reported case still investigation gp mt wellington,real
99,precautionary message one catch fire due hand sanitizer high amount alcohol message also shows hands lady applying sanitizer went near stove ended burning hands,fake
100,brings new zealand total number active cases NUM managed isolation quarantine facilities cases community nz total number confirmed cases covid NUM NUM number report,real
101,says rudy giuliani bought NUMm shares novartis primary supplier hydroxychloroquine early february,fake
102,student pondicherry university india found home remedy covid NUM accepted world health organization,fake
103,footballer ronaldo turning hotels covid NUM hospitals,fake
104,india records highest ever single day peak NUM recoveries total recoveries cross NUM lakh recoveries exceed active cases NUM lakh URL URL,real
105,cough fever runny nose symptoms came suddenly good chance could watch find next URL,real
106,president trump says pandas responsible covid NUM URL,fake
107,today NUM active cases district URL URL,real
108,public health england weekly report shows rise almost NUM rhinovirus infections include common cold last week URL,real
109,image suspected coronavirus vaccine causing covid NUM,fake
110,people likely others become severely ill means may require hospitalization intensive care ventilator help breathe severely ill people may die learn URL URL,real
111,camila pitanga brazilian actress contracted covid NUM said caught malaria could take chloroquine without admitting wrong,fake
112,new coronavirus causes sudden death syndrome,fake
113,increasing gap recovered amp active cases india may NUM NUM september NUM NUM URL,real
114,coronavirus parties deadly consequences URL,real
115,cabinet office minister michael gove says going shift emphasis working home new restrictions get latest news URL URL,real
116,well reporting quite effectively refuse put numbers table dashboard reasons beyond,real
117,looking numbers like yesterday one state california drove huge increase number seems much solid driven number states reporting large numbers tests completed,real
118,india lost NUM individuals coronavirus till date view rising coronavirus cases bihar government extends lockdown state till NUM september nationalist congress party chief sharad pawar residence four people tested positive URL,fake
119,bill gates profits vaccination wants reduce world population,fake
120,held virtual meeting today states amp uts ensure adequate oxygen availability healthcare facilities amp unrestricted intra well inter state movement oxygen read details URL URL,real
121,attend next coca call tuesday aug NUM NUMpm et via zoom topic covid NUM amp telehealth implementation stories field learn URL URL,real
122,healthy NUM year old boy lost life NUM days URL,real
123,important part work data collection analysis NUM NUMpm every day data team collates results received testing laboratories inform nigerians number new cases results received time reported next day URL,real
124,finally launched first real version covid racial data tracker partnership major effort project volunteers hope useful communities across country URL,real
125,acc period time exposure novel becoming infected symptom onset NUM NUM NUM days median estimates NUM NUM days long NUM days URL,real
126,nasal flu vaccine side effects cause covid,fake
127,today cases bring combined total confirmed probable covid NUM cases NUM NUM people reported recovered today two people hospital one middlemore north shore hospitals neither icu,real
128,new publication pandemic could cause treatment interruptions allow increase new infections programs plan avoid risks save lives full report URL authors jennifersmith timothyhallett URL,real
129,transparency leaders vital crisis must access data make informed decisions behavior changes az residents access data model projections URL URL,real
130,one nz receiving hospital level care covid NUM yesterday laboratories completed NUM tests bringing total number tests completed NUM minister advised amp reassured numbers continue increase coming days,real
131,rapid response team working nfeltp strengthen community testing lgas team provides support newly reactivated lga walk testing sites increased testing capacity access awareness grassroot level URL,real
132,new recovered cases NUM reported five states viz maharashtra tamil nadu andhra pradesh karnataka amp uttar pradesh maharashtra alone contributed NUM NUM amp andhra pradesh contributed NUM NUM NUM new recoveries URL,real
133,claim india began screening passengers affected countries single case pm modi fact govt mandated universal screening internat l flights march NUM NUM cases detected across NUM indian states URL,fake
134,says coronavirus military bio weapon developed china army,fake
135,indore india police doctors injecting coronavirus positive blood muslims,fake
136,photo vaccine developed u scientists covid NUM,fake
137,video clip shows doctor couple died treating NUM covid NUM patients,fake
138,NUM deaths reported bringing total dataset NUM include NUM probable covid NUM deaths reported nyc new york state working separate accounting lab confirmed probable deaths states URL,real
139,youth sports organizations resume activities planned player visitor coach gets sick cdc offers tips protect health safety staff players visitors involved youth sports tips URL URL,real
140,one politician died virus,fake
141,health ministry reviews covid management amp response NUM districts across NUM states exhibiting high caseload fatality,real
142,covid NUM URL,fake
143,leaked report says many humans planet URL,fake
144,another current known data problem washington state rock solid reporting early part outbreak system got gummed seen new update state days,real
145,india spraying pesticides night prevent covid NUM,fake
146,home ministry declared posting coronavirus declared punishable offense,fake
147,refuse sign pledge bypass care get ill URL via URL,real
148,rt use bleach solutions disinfecting products food currently cases identifie,real
149,free coronavirus test kits available URL,fake
150,dispels doubts raised failure one vaccine clinical trials says trials continuing expert committee reappraisal significant mutation sars cov NUM india icmr actively exploring saliva based test covid NUM,real
151,thirty nine gps specialists written bmj calling action long covid URL URL,real
152,scientists expressing cautious optimism covid NUM vaccine ready go late spring NUM although unclear much longer would take distribute vaccine widely URL,fake
153,want context hospitalization data situation check weekly roundup tackled transitional period producing erratic artificially deflated hospitalization data URL URL,real
154,testing status update stated NUM samples tested upto september NUM NUM NUM sample tested september NUM NUM URL,real
155,video shows first infected patient covid NUM dhanbad hospital,fake
156,says daniel radcliffe coronavirus,fake
157,today total NUM active cases india NUM samples tested today till NUMpm reported single case till date amp amp reported case last NUMhrs URL,real
158,trump coronavirus may end november NUMrd URL,fake
159,scientists believe affects body URL,fake
160,former rep trey gowdy wrote essay past social media claiming covid NUM pandemic planned help democrats NUM election,fake
161,health equity everyone opportunity healthy possible must address long standing inequities put racial ethnic groups higher risk learn cdc covid NUM strategy URL URL,real
162,product pages offering toxic chlorine dioxide industrial bleach often sold name miracle mineral solution cure reported guardian URL,fake
163,recent date confirmed data north carolina may NUMth infection rate NUM NUM meaning covid cases slowly increasing,real
164,possible vaccine could available end year csa patrick vallance says vaccine could available small amounts certain groups adding likely see vaccines first half next year URL URL,real
165,phase NUM doses allocated proportionally participating countries simultaneously reduce overall risk phase NUM consideration given countries relation threat vulnerability URL,real
166,great news virus vaccine ready able cure patient within NUM hours injection hats us scientists right trump announced roche medical company launch vaccine next sunday millions doses ready note message requires confirmation,fake
167,states reported NUM deaths trend good URL,real
168,NUM new cases NUM lagos NUM oyo NUM fct NUM niger NUM borno NUM jigawa NUM kaduna NUM anambra NUM edo NUM rivers NUM nasarawa NUM bauchi NUM benue NUM zamfara NUM cases nigeria discharged NUM deaths NUM URL,real
169,twofold increase mortality among coronavirus patients URL,real
170,july NUM last NUM days NUM states reported NUM new cases wear cloth face coverings keep NUMft others wash hands often interested data state see covid data tracker URL URL,real
171,covid never going away beach today raleigh north carolina,fake
172,pope francis dying coronavirus URL,fake
173,NUM new cases lagos NUM plateau NUM oyo NUM fct NUM edo NUM kaduna NUM enugu NUM ogun NUM kano NUM kwara NUM cross river NUM ondo NUM rivers NUM ekiti NUM imo NUM borno NUM NUM confirmed NUM discharged NUM deaths URL,real
174,people offering prayers groups rooftops despite lockdown cases coronavirus india continuously increasing,fake
175,access tools act accelerator aims provide equitable access tools tackle forms disease asymptomatic mild severe disease URL,real
176,positive rate fallen lot since early april back NUM like NUM NUM NUM lot change driven rising tests plummeting positive rates northeast URL,real
177,rt uk government announced NUM NUM million support prof robin shattock team phase two trials,real
178,NUM open vacancies nurses doctors health professionals work temporary hospital paulo used treat covid NUM cases,fake
179,photo funeral recently deceased sri lankan politician arumugam thondaman shared thousands times multiple facebook posts posts claim image shows one thondaman daughters violated sri lanka mandatory coronavirus quarantine policy travelers attending ceremony shortly returning country overseas,fake
180,morning identified NUM close contacts tokoroa health professional currently hospital covid NUM NUM already contacted expect contact remainder today,real
181,last places free pacific helped countries region step efforts prepare arrival covid NUM URL URL,real
182,new covidview reports hospitalization rates deaths increasing indicators track hospitalizations deaths usually lag behind indicators track illness URL URL,real
183,true coronavirus cause sore throat gargling salt warm water may make feel better direct effect virus,fake
184,dna vaccine shown work rhesus monkeys exposing vaccinated monkeys covid less virus lungs read study gt URL,real
185,NUM important strategies dealing doomsday scenario flu measles URL URL,real
186,older children seem spread covid like adults URL URL,real
187,grateful support providing NUM ambulances nigeria response used port health services kano edo amp oyo state emergency operations centres expand current capacity transportation cases URL,real
188,sadly NUM people hospital today around country covid NUM two ward north shore hospital two icu one north shore one waikato hospital hoping everyone full speedy recovery,real
189,indian politician uddhav thackeray asked christians pray jesus stop covid NUM,fake
190,average number cases nationwide flattened past week breaking downward trend seen beginning august URL,real
191,NUM positive coronavirus cases nagpur along three doctors one ventilator,fake
192,latest cdc report shows minority populations like american indian black hispanic continue hospitalized nearly NUM times rate non hispanic white counterparts learn URL URL,real
193,kia ora new zealand residents citizens children partners permitted enter new zealand,real
194,test track treat effective implementation centre states uts ensured india one lowest cases deaths per million population compared several countries URL,real
195,union health ministry urges states uts ensure restriction imposed movement medical oxygen states URL,real
196,study covid likely mix seattle early NUM flu season URL,real
197,photo shows people infected coronavirus lying sidewalk china,fake
198,active cases NUM total cases recoveries NUM lakh exceed active cases NUM lakh URL URL,real
199,states like new york illinois california vocal demands funding bail pension systems failing long covid NUM outbreak programs related crisis,fake
200,news anti vaxxers close deciding medical conditions pretend caused coronavirus vaccine URL URL,fake
201,total cases india september NUM NUM NUM NUM cured discharged migrated NUM NUM NUM active cases NUM NUM NUM deaths NUM total covid NUM confirmed cases cured discharged migrated active cases deaths URL,real
202,NUM new cases lagos NUM fct NUM bauchi NUM rivers NUM oyo NUM kaduna NUM gombe NUM edo NUM ogun NUM jigawa NUM enugu NUM kano NUM osun NUM ondo NUM NUM cases discharged NUM deaths NUM URL,real
203,florida numbers today include large number backlogged tests state said URL,real
204,local lockdown measures imposed welsh county rhondda cynon taf rise coronavirus cases URL,real
205,announces algeria outside danger regarding covid NUM,fake
206,states reported nearly NUMk cases today NUM days may NUM positive rate highest since late may URL,real
207,vast majority students st dominic casual contacts tested precaution students staff well symptoms covid NUM need self isolate waiting test results,real
208,prime minister boris johnson says government shortly setting priority groups think covid tests follow live updates pm faces questions liaison committee URL URL,real
209,antibodies common cold produce positive covid NUM test false positive results covid NUM antibody testing behind covid NUM cases reported u,fake
210,children NUM years represent NUM NUM reported cases deaths compared age groups amp usually mild disease URL URL,real
211,man beaten deoria india lockdown time,fake
212,daily update published tracked NUM NUM million tests NUMk yesterday note track tests state reports details see URL URL,real
213,coronavirus like broken leg URL,fake
214,photos show masses fleeing myanmar thailand due coronavirus pandemic,fake
215,georgia particularly worrisome state seen large rise reported deaths despite rising infections steep hospitalization curve today state reported second highest deaths since beginning pandemic highest number since april NUM URL,real
216,new findings confirm earlier research showing major increase physician employment hospitals past decade URL,real
217,ireland entire cabinet restrict movements health minister felt unwell tested reported URL,real
218,backdrop lockdown videos wild animals taking roads surfacing internet among set pictures herd deer rounds social media claiming pictures lake club chandigarh,fake
219,reported death toll today NUM last friday two states reported NUM deaths today ny pa URL,real
220,one optimistic point NUM states left side chart finding positive cases even lot testing suggests mitigation strategies working URL,real
221,thank extremely insightful one two trusted websites follow provide good summary amp update covid follow really good job recent video touted importance vitamin elderberry among things,fake
222,florida broke new york NUM day average record cases per million population today testing capacity obviously much much greater spring however still stunning see record fall URL,real
223,outbreak continues many people united states point time either year next exposed likely many become sick people likely mild illness URL,real
224,sir ganga ram hospital directed patients stay home n treat urself implies delhi govt miserably failed administrative responsibility providing health care n left delhites fate must sacked n lg take charge u agree,fake
225,one previously reported cases considered recovered total number active cases NUM NUM imported cases miq facilities NUM community cases,real
226,joe diffie death labeled covid NUM death,fake
227,modeling assumptions assume baseline general hospital occupancy rate NUM across hospitals accounting hospitalized non covid patients assume hospitals increase available beds covid patients roughly double NUM,real
228,NUM NUM bame doctors uk still given access potentially life saving covid NUM risk assessments URL,real
229,daily update published states reported NUMk tests NUMk cases NUM deaths URL,real
230,doctor named leslie chow discovered coronavirus died contact coronavirus patients,fake
231,though number new cases remained relatively flat regional data shows steady state new cases region scaled population URL,real
232,yesterday labs processed NUM tests total number tests completed date NUM NUM people linked community cluster auckland quarantine facility includes NUM people tested positive household contacts,real
233,coronavirus hospital urgent plea people go busy amp e covid NUM tests URL,real
234,rightmove said activity aided current stamp duty holiday driven high demand gardens space work home disrupts day day life URL,real
235,says covid NUM virus,fake
236,anyone flight facility time cases treated close contacts tested isolated negative result received,real
237,states provide negative results frequency comprehensiveness point think positive rates important indicators,real
238,NUM new cases lagos NUM fct NUM plateau NUM kaduna NUM ogun NUM kwara NUM ebonyi NUM ekiti NUM oyo NUM borno NUM edo NUM kano NUM nasarawa NUM osun NUM taraba NUM gombe NUM bauchi NUM NUM confirmed NUM discharged NUM deaths URL,real
239,per govt total NUM samples tested NUM sep NUM URL,real
240,trump effort blame obama sluggish coronavirus testing,fake
241,first changes track pending numbers state totals go less erratically second tracking numbers states broaden grading criteria third making major changes website,real
242,india climbs another historic peak NUM lakh tests NUM NUM lakh tests done last NUM hours,real
243,states reported NUM newly discovered cases today last week low almost exact match last tuesday new case number URL,real
244,public broadcast rtve published map coronavirus cases spain fact map penis average size different regions,fake
245,allegheny county pa department emergency services using diverse sources response planning including covid act URL URL,real
246,aaj tak news report chinese prime minister said reading quran offering namaz cure covid NUM,fake
247,aug NUM national forecasts suggest new weekly deaths may decrease coming weeks NUM NUM new deaths week ending sept NUM forecasts predict NUMk NUMk total covid NUM deaths us sept NUM URL URL,real
248,developers banks tell government already spent ireland share eu NUM trillion covid recovery fund URL,fake
249,promises viable vaccine developed covid NUM virus think rehire judith mikovits living scientific encyclopedia viral research involved scientific research permitted,fake
250,nancy pelosi suggests coronavirus c NUM renamed c NUM honor president trump URL,fake
251,rt children wear safely children must clean hands maintain safe distance stop spread,real
252,mar lago tests positive coronavirus URL,fake
253,covid NUM vaccine oxford university success NUM people cured,fake
254,confirmation earlier today second death linked covid NUM last two days means number covid NUM related deaths new zealand NUM,real
255,photo shows french nurses holding sign denounce police violence,fake
256,daily update published states reported NUMk new cases covid NUM solid NUMk tests NUM covid NUM deaths today NUM day average deaths NUM URL,real
257,warns consuming cabbage prevent covid NUM,fake
258,total cases india september NUM NUM NUM NUM cured discharged migrated NUM NUM NUM active cases NUM NUM NUM deaths NUM total covid NUM confirmed cases cured discharged migrated active cases deaths URL,real
259,weekend lag effect pronounced death reporting example last week ca reported NUM deaths monday NUM tues az reported NUM death mon NUM tues today az reported NUM deaths ca NUM data outputs complicated human processes URL,real
260,know strong weekend effect hits sundays mondays especially reporting covid NUM deaths sundays highlighted red URL,real
261,NUM new infections maharashtra records highest single day spike state far starting NUMpm tomorrow manipur go complete lockdown NUM days bhopal madhya pradesh impose city wide lockdown july NUM august NUM URL,fake
262,louisiana posted record case counts back back reporting saturday one positive thread compare hospitalizations cases charts clear diagnosing infections NUM NUM la first peak NUM tests today NUM URL,real
263,whatsapp forward attributed cnn claims dr li wenliang whistleblower chinese government propaganda covid NUM documented research report according report chemicals like methylxanthine theobromine theophylline stimulate compounds ward virus human body least average performing immune system,fake
264,debunking misinformation coronavirus hoaxes travel fast numbers causes growing outbreak need clarification URL URL,fake
265,detail one sharpest observers livestream URL URL,real
266,person released quarantine isolation pose risk spreading people share facts disease NUM URL URL,real
267,pandemic opened door physicians online learning physicians new medscape report finds URL,real
268,young people greater chance killed hpv vaccine covid NUM,fake
269,pandemic,fake
270,growing number states cities requiring face covering anyone leaving home learn best materials make face mask properly wear care URL,real
271,amoxi capsule made us medicine completely cure covid NUM egyptian health minister arrive italy secret coronavirus cure dr charles lieber harvard professor arrested usa manufacturing coronavirus selling china video news report wcvb tv station boston massachusetts shared facebook post mountain matterhorn switzerland lit three colours indian flag token gratitude india sending hydroxychloroquine al azhar imam said considering exceptions ramadan fasting research says mouth must kept wet prevent covid NUM japanese nobel tasuku honjo says coronavirus created wuhan laboratory man collapses NUM minutes showing covid NUM symptoms india celebrities spreading misinformation coronavirus janata curfew india multiple posts shared repeatedly facebook twitter since march NUM claim israel reported zero deaths novel coronavirus causes disease covid NUM posts also claim israeli citizens protected covid NUM drinking remedy hot water lemon baking soda purportedly kills virus cdc suddenly lost NUM deaths coronavirus data thus proving virus serious seems photos coronavirus patients treated road italy indian actor shah rukh khan donated money pakistan fight coronavirus help india russian president vladimir putin ordered russia population stay home NUM days face five years jail indian army set NUM bed quarantine facility rajasthan barmer leonardo da vinci hospital covid NUM reference hospital fortaleza brazil empty video proves one areas open public president trump claim inherited ventilators obama administration audio unidentified person links virus causes covid NUM massive flu vaccination campaign black body bags referred deaths new york reason lockdown essential mustard oil prevents person getting infected covid NUM north carolina health department telling hospitals decide elective surgeries eligible receive protective equipment state coronavirus pandemic chinese president said china time lead world nurses boris johnson claimed saved life registered uk claim india ministry home affairs made punishable offense citizens publish posts social media novel coronavirus shared repeatedly facebook twitter whatsapp says nancy pelosi caught trying include abortion funding bill combat coronavirus video man rebuking foreigners viewed thousands times social media alongside claim guinean government ordered arrest chinese nationals country awaiting safe return guineans china u country earth protesting locked photo kurnool mla hafeez khan making nurse touch feet religious head viswabharathi medical college come covid NUM quarantine facility new york state governor shows data proves isolation ineffective covid NUM homeopathic product oscillococcinum protects covid NUM cdc admitted lying covid NUM death stats notice preparing emergency drugs released social media alumni seoul national university college medicine belgian doctors turn back director dr li wenliang chinese whistleblower doctor proposed drinking tea cure covid NUM person arrested violating lockdown night get bail lockdown state gujarat india us president donald trump tested positive covid NUM picture quote doctor vincenzo puro allegedly said asymptomatic people infect others virus lethal pandemic hoax prince charles recovered covid NUM help ayurvedic treatment video shows superintendent police announcing extension lokckdown maharashtra india till may NUM whatsapp audio claims infanta sof hospital madrid NUM children serious condition due covid NUM three children talavera de la reina hospital video shows coronavirus patients doctors video claims show nigerian government spent us NUM million import chinese doctors supplies riots london due unavailability food items united kingdom locked tonight army soldiers take uk streets set claims passed instructions followed covid NUM pandemic period facebook post claims latvian app apturi covid stop covid created warn people close infected person used government track people contact list record locations aaj tak channel aired program said drinking alcohol smoking weed cure covid NUM president donald trump tweeted coronavirus vaccine israel stock market economy even stronger besides us israel best inventions judaism olives wonderful vaccine stop corona dead around world make vaccines bombed possible without peace created israel italy official giulio gallera china lies us date china provided false italy become wuhan medical system breakdown jo doria governor paulo forbade doctors give chloroquine covid NUM patients blog post shared thousands times multiple facebook posts claim shows video baby died infected novel coronavirus causes disease covid NUM vaccine coronavirus available since NUM video showing policemen picking banknotes sticks linking coronavirus make vaccine works flu vaccine respiratory syncytial virus rsv cure cancer yet somehow scientists make vaccine covid NUM six months mumbai pune going military lockdown need defeat coronavirus consume alkaline foods virus ph level indian actor aamir khan gives rs NUM poor people NUMkg wheat flour photo shows funeral turkish deceased general aytac yalman due covid NUM coronavirus responsible covid NUM mix sars hiv two doctors bakersfield california said press conference isolation measures affect immune system unrestrictive controls countries like sweden worked article says vatican confirmed pope two assistants coronavirus herbal tea made malunggay kamias leaves cure covid NUM disease caused novel coronavirus video police officers immobilizing screaming woman caption states beaten police refuse go houses lockdown minas gerais brazil cuba low number covid NUM deaths due use hydroxychloroquine treat patients video doctor linked anti vaccine movement chinda brandolino origin covid NUM confirmed case coronavirus bogot hospital video showing migrant laborers surat city india sent back surat home states refused take back state border ohio gov mike dewine released NUM prisoners warning residents possible crime wave virus NUMg causing disease deaths arrest federal bureau investigation fbi professor ties china connected coronavirus pandemic photo list purported symptoms treatments novel coronavirus causes disease covid NUM shared hundreds times multiple posts facebook twitter instagram purported remedies include daily dose vitamins exposure sunlight diet alkaline foods police catches coronavirus positive patient road NUM second viral video man lifts shirt challenges aa police officer pointing gun another police officer kicks man behind pins road makes arrest text overlaid video reads italy says lockdown mean,fake
272,latest cdc report shows weekly hospitalizations associated peaked twice since outbreak began week ending april NUM second time week ending july NUM learn URL URL,real
273,coronavirus spread via bananas,fake
274,kia ora vincent sorry issues app please call ministry health team NUM NUM NUM email query feedback app tracingapp feedback govt nz,real
275,focused effective efforts containment testing isolation treatment resulted increasing percentage recovery rates steadily falling percentage active cases URL,real
276,total number confirmed cases covid NUM NUM number report world health organization yesterday laboratories processed NUM tests bringing total number tests completed date NUM,real
277,china president xi jinping visited masjid request muslims dua present crisis country going need help,fake
278,video italian representative sara cunial tells truth bill gates control world population vaccines medical experiment,fake
279,message circulating claiming kins died covid NUM claim insurance pradhan mantri jeevan jyoti bima yojana pmjjby amp pradhan mantri suraksha bima yojana pmsby URL,fake
